Server Name,IP_ADDRESS,ROLE,SECONDAY ROLE,OS (ALL STANDARD),COMMISION DATE,UPDATES PENDING,MAKE,MODEL,NUM OF CPU,CPU MODEL,NUM OF CORES,NUM OF THREADS,Frequencey,RAM,VIRTUAL
KASLAD64,10.113.2.14,PDC,DNS REPLICATOR,SERVER 2012 R2,42370,Y/N,HP,DL360P GEN 8,2,XEON E5-2640 V2,8,16,2.00GHz,64GB,N
KASLDNS64,10.113.2.15,PRIMARY DNS,BDC,SERVER 2012 R2,42370,Y/N,HP,DL360P GEN 8,2,XEON E5-2640 V2,8,16,2.00GHz,64GB,N
KASLPARISDC,10.113.2.18,RODC - READ ONLY DOMAIN CONROLLER,DNS REPLICATOR,SERVER 2012 R2,42370,Y/N,CUSTOM,CUSTOM,1,ATOM,?,?,?,32GB,N
KASLPRN64,10.113.2.16,PRINT SERVER,SAGE HOST,SERVER 2012 ,41640,Y/N,HP,DL360 G6,1,XEON,?,?,?,48GB*,N
KASLEX10,10.113.2.17,EXCHANGE 2010,NONE,SERVER 2008 R2,40909,Y/N,HP,DL380 G5,2,XEON X5460,4,4,3.16GHz,32GB,N
KASLPRINTSCAN,DHCP,PRINT SERVER,SCAN SERVER,SERVER 2012 R2 ,42736,Y/N,HP,DL360,2,XEON,?,?,?,64GB?,N
KASLDB1201,DHCP,DATABASE SERVER 1 (SQL),NONE,SERVER 2012 R2,42156,Y/N,HP,DL380 GEN9,2,XEON E5-2650 V3,10,20,2.30GHz,32GB,N
KASLDB1202,DHCP,DATABASE SERVER 2 (SQL),NONE,SERVER 2012 R2,              01/13/2016,Y/N,HP,DL380 GEN9,2,XEON E5-2650 V3,10,20,2.30GHz,32GB,N
KASLVBSVR,10.113.2.21,BLOOMBERG SERVER,NONE,SERVER 2008  ,40179,Y/N,HP,ML350 G6,2,XEON E5540 ,4,8,2.53GHz,32GB,N
KASLUTLS,10.113.2.22,UTILITY SERVER - SEMANTIC AV HOST,WSUS SERVER - VM KASLVSUS ,SERVER 2012 R2,42370,Y/N,HP,DL360,2,XEON E5-2620,6,12,2.00GHz,64GB,N
KASLVSUS,DHCP,WSUS,NONE,SERVER 2012 R2,42370,Y/N,HYPER V,HYPER V,8 CORES,HYPER  V,8,?,?,24GB,Y
KASLFS00,10.113.2.28,FILE SERVER ,NONE,SERVER 2012,42370,Y/N,HP,DL360E,2,XEON E5-2420,6,12,1.90GHz,16GB,N
KASLFS000,10.113.2.38,FILE SERVER ,REPLICATOR FOR FS00,SERVER 2012 R2,43101,Y/N,HP,DL380E GEN 8,2,XEON E5-2420,6,12,1.90GHz,64GB,N
KASLTRACKER,10.113.2.51,BUG TRACKER DEV,NONE,SERVER 2012 R2,42901,Y/N,HP,DL160 GEN 9,1,XEON E5-2620 V3,6,12,2.40GHz,16GB,N
EURO01,10.113.2.65,DOWGATE EURO,NONE,SERVER 2012 R2,42152,Y/N,HP,DL160 GEN 9,1,XEON E5-2620 V3,6,12,2.40GHz,16GB,N
EURO02,10.113.2.66,DOWGATE EURO,NONE,SERVER 2012 R2,42152,Y/N,HP,DL160 GEN 9,1,XEON E5-2620 V3,6,12,2.40GHz,16GB,N
EURO03,10.113.2.67,DOWGATE EURO,NONE,SERVER 2012 R2,42352,Y/N,HP,DL160 GEN 9,1,XEON E5-2620 V3,6,12,2.40GHz,32GB,N
EURO04V,10.113.2.68,DOWGATE EURO,NONE,SERVER 2012 R2,42460,Y/N,HYPER V,HYPER V,4 CORES,HYPER V,4,?,?,12GB,Y
